Category,Job Description
Health & Fitness,"Job Description 1: Health and Wellness Program Coordinator for Senior Population
Overview: We are seeking a dedicated individual to join our team as a Health and Wellness Program Coordinator. In this role, you will be responsible for developing, managing, and implementing comprehensive health, wellness, and fitness programs for our senior population. Your expertise and efforts will contribute to the overall well-being and quality of life for our senior residents.
Responsibilities: As a Health and Wellness Program Coordinator, your essential duties and tasks will include:
1.	Opening the Center daily.
2.	Conducting monthly checks of emergency equipment to ensure proper functionality.
3.	Developing, managing, and implementing comprehensive health and wellness programs for seniors.
4.	Providing personalized one-on-one training programming (Healthy Fit) as developed by licensed therapists and maintaining regular communication regarding resident participation.
5.	Planning, coordinating, and conducting health and wellness-related educational presentations.
6.	Contacting and scheduling varied speakers from local health-related organizations and businesses.
7.	Seeking input from participants and researching potential topics regarding health awareness, exercise and fitness, medication management, and safety issues.
8.	Overseeing the fitness room and instructing seniors on the proper use of fitness equipment.
9.	Coordinating the repair and maintenance of fitness equipment.
10.	Coordinating and scheduling health provider services offered at the Senior Center (e.g., blood pressure checks and hearing tests).
11.	Serving as a coordinator with the Parks and Recreation Department for Senior Games.
12.	Coordinating Project Heat Relief initiatives.
13.	Developing additional health resources for the Senior Center through community education and volunteer recruitment.
14.	Serving as a team leader with staff and seniors to plan and execute the logistics of the Senior Games opening ceremonies.
15.	Organizing focus groups to gather feedback on existing fitness/wellness programs offered at the Senior Center.
16.	Collecting data and developing outcome measurements for health and fitness programs.
17.	Preparing publicity materials and promoting Center activities through various media venues.
18.	Participating in other center activities as appropriate and needed.
19.	Covering the Reception Desk and providing daily assistance to clients, including helping with applications, conducting tours, handling cash, and preparing receipts for deposit.
20.	Serving as Coordinator of the Wellness Committee.
Additional Job Duties: Performing related duties as required.
Physical Requirements:
•	Regular exertion of up to 10 pounds of force.
•	Frequent exertion of up to 25 pounds of force.
•	Occasional exertion of up to 50 pounds of force.
•	Regular sitting and using hands for various tasks.
•	Frequent walking, speaking, hearing, and reaching.
•	Occasional standing, climbing, balancing, stooping, kneeling, crouching, or crawling.
•	Close vision, distance vision, depth perception, color perception, and peripheral vision required.
•	Vocal communication and hearing abilities necessary.
•	May require exposure to bloodborne pathogens and outdoor weather conditions.
•	Occasional use of specialized personal protective equipment.
•	Work environment may be moderately noisy (e.g., business office, light traffic).
Qualifications: Desirable Education and Experience:
•	Graduation from a four-year college or university with a degree in health education, physical education, recreation administration, or a closely related field.
•	Moderate experience in managing or supervising health, physical education, or recreation programs, preferably working with the senior population in the CCRC (Continuing Care Retirement Community) setting.
•	An equivalent combination of education and experience will also be considered.
Knowledge, Skills, and Abilities:
•	Knowledge of the aging process, psychosocial aspects of aging, and understanding the needs of older adults.
•	Knowledge of the most common diseases and functional disorders of aging.
•	Working knowledge of community resources available for older adults.
•	Ability to effectively plan and organize health seminars and activities for senior adults within the CCRC.
•	Ability to work with groups and exercise sound judgment.
•	Strong oral and written communication skills.
•	Tactful and courteous demeanor when interacting with the public.
•	Ability to establish and maintain effective working relationships with peers, residents and their families, physicians, and the public.
Join our team and make a meaningful impact on the health and well-being of our senior population!
"
Health & Fitness,"Job Description 2: Fitness Service Manager

Company Overview:
Gold's Gym SoCal and its affiliated clubs are rapidly growing and seeking a passionate Fitness Service Manager. As a part of our team, you will contribute to providing world-class service to our clubs and members. We are a dynamic and exciting company that values excellence, integrity, and leadership. Join us and be a part of our dedicated family!

Why Work Here:

Enjoy working in a fun environment with great people.
Opportunity for bonuses and commissions.
Comprehensive benefits package, including John Hancock 401k and Aflac Supplemental Insurance options.
Free gym memberships and discounts.
Opportunities for growth within the company.
What Sets Us Apart:

Dedication to our members' successes and goals.
Integrity that fosters lifelong relationships.
Passion for the communities we serve.
Pride in our work and identity.
Ongoing leadership development.
Commitment to excellence.
Job Responsibilities:

Encourage members to explore a wide range of fitness offerings tailored to their goals.
Build and manage a highly engaged and high-performing membership team.
Ensure project and department milestones/goals are met within approved budgets.
Enforce club rules, policies, and proper procedures.
Provide feedback to the General Manager regarding performance gaps that require attention.
Maintain a fully staffed club through application review, interviewing, and hiring recommendations.
Manage personal training sales generation for the facility's membership.
Develop and monitor monthly, quarterly, and annual metrics, including employee retention and satisfaction.
Train staff to generate leads and new business through member promotions, referrals, and guest passes.
Coach employees and create a positive working environment.
Conduct weekly meetings with direct reports to review performance and provide guidance toward goals.
Act as a manager-on-duty as needed to address member concerns.
Qualifications:

Strong knowledge of personal training techniques and program design.
Sound business judgment and analytical skills.
Positive and effective leadership abilities, including motivation, coaching, and communication.
Excellent listening, delegation, planning, and organizational skills.
Ability to create a positive work environment and pursue self-development.
Resourcefulness to improve overall operations.
Strong leadership qualities with excellent motivational, communication, and team-building skills.
College degree preferred.
Current CPR certification required.
National Certification required (e.g., ACSM, ACE, NASM, NSCA, etc.).
Current CPR and Automated External Defibrillator (AED) certifications from an approved organization.
Equal Opportunity Employer:
Gold's Gym SoCal and its affiliated clubs are proud to be an equal opportunity employer. We embrace diversity and are committed to creating an inclusive environment for all employees, applicants, vendors, and members. All employment decisions will be based on merit, competence, performance, and business needs, without regard to race, color, religion, marital status, age, national origin, ancestry, physical or mental disability, medical condition, pregnancy, genetic information, gender, sexual orientation, gender identity or expression, veteran status, or any other status protected under federal, state, or local law.

Join our Legacy Family Today! We Celebrate Everyone!
"
Data Science,"Job Description 3: Data Scientist - Product Analytics
Company Overview: Meta is seeking a talented and skilled Data Scientist to join our team. As a Data Scientist at Meta, you will play a pivotal role in shaping the future of our people-facing and business-facing products across our family of applications, including Facebook, Instagram, Messenger, WhatsApp, and Oculus. Leveraging one of the world's richest data sets, you will apply your technical skills, analytical mindset, and product intuition to define the experiences for billions of users and millions of businesses worldwide. You will collaborate with cross-functional partners from various departments to solve product and business challenges, influence strategy and investment decisions, and drive impactful outcomes. Join us and be a part of our world-class analytics community dedicated to skill development and career growth.
Responsibilities:
•	Product Leadership: Shape product development using data insights, quantify opportunities and challenges, and ensure the value of our products for users and businesses. Collaborate with partner teams to prioritize initiatives, set goals, and gain a deep understanding of the product ecosystem.
•	Analytics: Guide teams by employing a diverse toolkit of rigorous analytical approaches. Develop hypotheses, leverage data and insights, and test different methodologies and technical approaches to drive product strategies and improvements.
•	Communication and Influence: Present data-driven stories, provide clear insights and recommendations, and influence partners effectively. Build credibility through structured and impactful communication, becoming a trusted strategic partner.
Data Scientist, Product Analytics Responsibilities:
•	Work with large and complex data sets to solve challenging problems using quantitative analysis, data mining, experimentation, and data presentation techniques.
•	Apply technical expertise to develop product strategies and serve billions of users and millions of businesses.
•	Identify and measure the success of product efforts through goal setting, forecasting, and monitoring key product metrics.
•	Define, test, and recommend opportunities to improve products, driving roadmaps based on insights.
•	Collaborate with Product, Engineering, and cross-functional teams to inform, support, and execute product strategies and investment decisions.
Minimum Qualifications:
•	Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience.
•	Minimum of 2 years of work experience in analytics (1 year with a Ph.D.).
•	Proficiency in data querying languages (e.g., SQL), scripting languages (e.g., Python), and/or statistical/mathematical software (e.g., R).
Preferred Qualifications:
•	Master's or Ph.D. degree in a quantitative field.
Equal Employment Opportunity: Meta is an equal employment opportunity and affirmative action employer. We value diversity and do not discriminate based on race, religion, color, national origin, sex, sexual orientation, gender identity, gender expression, age, protected veteran status, disability status, genetic information, political views or activity, or any other legally protected characteristics. Qualified applicants with criminal histories are considered in accordance with applicable law. We may use your information to maintain the safety and security of Meta and its employees as required by law. Please refer to the provided links for further details on our Equal Employment Opportunity notice, Pay Transparency Policy, and other relevant policies.
Join our team and be a part of shaping the future with Meta!
"
Data Science,"Job Description 4: Quantitative Analyst
Required Skills: We are seeking an ideal candidate with the following qualifications and skills:
•	Degree in a quantitative field (e.g., mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.).
•	Basic knowledge of software development principles and architecture.
•	Strong analytical and problem-solving abilities.
•	Ability to analyze and break down complex business problems, define solutions, and implement them using advanced quantitative methods.
•	Familiarity with programming languages for data analysis, particularly Python, SQL, or R.
•	Excellent oral and written communication skills, with the ability to effectively convey analytical concepts and methods.
•	Strong work ethic and intellectual curiosity.
•	Knowledge of Cloud technologies such as AWS or Google Cloud.
•	Familiarity with any relational database, such as MySQL.
•	Ability to work well in a team environment, demonstrate excellent communication and problem-solving skills, and have experience collaborating with cross-functional teams.
Responsibilities: As a Quantitative Analyst, your responsibilities will include:
•	Applying advanced quantitative methods to analyze complex business problems.
•	Developing and implementing solutions using programming languages such as Python, SQL, or R.
•	Collaborating with cross-functional teams and customers to understand their requirements and deliver high-quality analytical solutions.
•	Utilizing cloud technologies like AWS or Google Cloud for data analysis and modeling.
•	Communicating findings and insights effectively, both verbally and in written reports.
•	Working collaboratively in a team environment to achieve project goals and meet deadlines.

"
Testing,"Job Description 5: QA Manual Tester (100% Remote)
Job Title: QA Manual Tester
Location-Type: 100% Remote
Start Date: ASAP
Duration: Contract
Compensation Range: $25-27 Per Hour W2
Note: The provided compensation range represents the candidate's typical range at the time of hire and may vary based on factors such as experience and skillsets.
Job Summary: We are seeking an experienced and proficient Quality Assurance Engineer to join our engineering team. This position is ideal for someone who thrives as a tester, enjoys working under pressure, and is eager to take on challenges. As a QA Test Engineer, you will be responsible for writing and executing tests for in-sprint features and regression test plans. Additionally, you will work as a cross-functional tester within the organization, collaborating with stakeholders to understand system requirements, use cases, and performance considerations.
Responsibilities:
•	Perform manual testing of CRM applications and test user workflows using Agile methodology.
•	Review requirements, specifications, and technical design documents to provide timely and meaningful feedback.
•	Create and execute functional and regression test scripts.
•	Identify and categorize internal and external customer product feedback into defects, issues, or enhancements.
•	Collaborate with stakeholders to understand system requirements, use cases, and performance considerations.
•	Work independently with minimum guidance and complete projects within specified deadlines.
Required Skills:
•	1-2+ years of professional Manual QA Testing experience (ideally 4-5 years).
•	Experience in manual testing with a focus on testing cloud-based CRM systems (ideally Salesforce, but open to any CRM).
•	Proficiency in JIRA and Agile methodologies.
•	Hands-on experience with documentation writing.
•	Professional troubleshooting experience.
•	Strong communication skills.
Preferred Skills:
•	Experience with Salesforce CRM Testing.
•	Background in the financial industry.
Please note that this is a remote opportunity. As a contractor, you will be eligible to enroll in both Mondo's health insurance plan and retirement plan. Paid sick leave eligibility will be determined by applicable state or local laws.
Join our team and contribute to our ongoing success as a QA Manual Tester!
"
Testing,"Job Description 6: QA Engineer
Responsibilities: We are seeking a skilled QA Engineer to join our team. As a QA Engineer, your responsibilities will include:
•	Testing software, including functional and integration testing, performance testing, and automated testing.
•	Collaborating with the development team to ensure code quality.
•	Analyzing business and technical requirements to ensure the completeness and correctness of tests.
•	Implementing testing tools and continuously optimizing the testing process.
•	Documenting test results and reporting bugs in the bug tracking system.
Requirements: To be successful in this role, you should have the following qualifications:
•	Minimum 2 years of experience in automated software testing.
•	Familiarity with testing tools such as Selenium, Cypress, JMeter, Postman, etc.
•	Ability to analyze business and technical requirements.
•	Proficiency in English enabling effective communication at work.
•	Ability to work in a team and contribute independently.
•	Strong decision-making skills.
We Offer:
•	B2B contract type.
•	Full-time work.
•	Remote and flexible working hours.
Join our team as a QA Engineer and contribute to the success of our software testing efforts.
"
Mechanical Engineer,"Job Description 7: Mechanical Engineer - Motivo
About Us: Motivo is seeking new talent in Mechanical Engineering to join our project teams and contribute to the development of new, world-changing technologies. We are a team of engineers, fabricators, e-techs, and technologists taking on ambitious and impactful projects in various industry verticals. Our focus is on hardware challenges, and we have partnered with visionary clients in the EV, robotics, and aerospace R&D sectors, enabling their success and market viability.
Responsibilities: As a Mechanical Engineer at Motivo, you will have broad ownership and education in your role. Key responsibilities include:
•	Ideation and feature definition.
•	System-level design.
•	Client and vendor management.
•	Hardware bring-ups.
•	Ownership of your designs.
•	Contribution to product strategy and viability discussions with CEOs/CTOs.
Requirements: Success at Motivo is driven by hard work, creativity, and collaboration. We are looking for candidates with the following baseline experience:
•	Mechanism design (planning, modeling, verification).
•	Hands-on skills (prototyping, fabrication, testing).
•	Analysis (static, dynamic, thermal).
•	Willingness to learn new things and expand skillset.
Benefits: Working at Motivo comes with various benefits, including:
•	Company-wide profit sharing.
•	High-quality insurance plans.
•	401k match.
•	Generous paid vacation time.
•	Onsite massage therapist.
•	Monday-Thursday 4/10 work week.
Compensation:
•	Base Salary Range: $70,000 - $100,000
•	Annual Profit Sharing Estimate: $14,000 - $20,000 (Salary is dependent on experience, knowledge, and interview performance.)
If you are ready to showcase your skills and join our team, let's talk! We are excited to hear from candidates who are passionate about engineering and eager to contribute to our impactful projects.
"
Mechanical Engineer,"Job Description 8: Mechanical Engineer - Conveyor System Automation
About This Featured Opportunity: As a Mechanical Engineer, you will join a critical Engineering organization focused on driving conveyor system automation engineering projects. Our client, a well-known Fortune 500 company in the retail industry, is offering this exciting opportunity. The position will be located onsite in Bellevue, WA.
The Opportunity for You: As a Mechanical Engineer, your responsibilities will include driving engineering triage and resolution for post-launch defects in coordination with Equipment Subject Matter Experts (SMEs) and Project Engineering stakeholders. You will track daily machine performance metrics and drive resolution, coordinate factory/site acceptance testing and proof of concepts, and manage integrator-specific spare parts in collaboration with Reliability & Maintenance Engineering and Supply Chain.
Responsibilities:
•	Drive engineering triage and resolution for post-launch defects in conveyor system automation projects.
•	Coordinate with Equipment SMEs and Project Engineering stakeholders.
•	Track daily machine performance metrics and drive resolution for any issues.
•	Coordinate factory/site acceptance testing and proof of concepts.
•	Manage integrator-specific spare parts in collaboration with Reliability & Maintenance Engineering and Supply Chain.
Requirements: To be successful in this role, you should have the following qualifications and skills:
•	BSc/MSc in Aerospace or Mechanical Engineering.
•	Proficiency in CAD software for 3D modeling and 2D drafting.
•	Experience in designing mechanical/equipment assemblies and automation.
•	Strong project management skills.
•	Excellent communication and writing skills.
Preferred Skills:
•	Experience with material handling equipment and conveyor automation.
•	Familiarity with engineering project management software such as ASANA.
Job Benefits:
•	Medical, vision, and dental insurance coverage.
About Advantis Global: Advantis Global is an IT staffing agency dedicated to connecting talented individuals to opportunities with Fortune 500 companies in various industries, including tech, government, marketing, gaming, and creative fields. We prioritize your career growth and offer high-growth opportunities with advancement potential. Our commitment to continuous placement ensures your career progression and development.
Advantis Global is an equal opportunity employer that makes employment decisions based on merit, qualifications, and abilities. We value diversity and do not discriminate based on race, color, religion, sex, sexual orientation, national origin, age, disability, or any other protected characteristic. We are an open-minded collective, and we welcome individuals who are smart, optimistic, and dedicated to excellence in their work.
Join our team and make your next big move by applying to this job. Let our talented recruiters connect you to exciting opportunities tailored to your best interests.
"
Operation Manager,"job Description 9: Operation Management 
Responsibilities:
•	Provide daily operations support to the Project Management Office.
•	Manage PM tasks, including internal and external communications, reporting requirements, and action items.
•	Coordinate and facilitate PM events and meetings.
•	Analyze, consolidate, and disseminate information.
•	Prepare briefing materials, formal staffing packages, information papers, calendar items, and meeting minutes.
•	Maintain configuration control of all documents until final acceptance by the Government.
•	Determine appropriate points of contact to respond to tasker inquiries and assign action items.
•	Enter and track task information using the LCMP Task Management System and PM SharePoint Site.
•	Provide current status of active and pending tasks.
•	Facilitate meetings with other action officers.
•	Advise PM FP organization elements on PEO CS&CSS and PM staffing procedures, protocol, and format requirements.
•	Release Government-approved responses to action items/taskers within one business day.
•	Plan and coordinate project manager leadership events and meetings.
•	Monitor and coordinate PM events on the PM Actions Calendar and PM IMS.
•	Coordinate, prepare, and disseminate PM internal and external reporting requirements.
•	Develop briefing packages to support budget, test, logistics, and program management decisions.
•	Staff Executive Summaries, meeting action items, and informational papers.
•	Provide administrative services to cover leave and absences.
•	Serve as a primary point of contact for interaction with the PEO CS&CSS Operations Team.
•	Coordinate with PM Operations Chief, PEO Executive Officer (XO), and Executive Administrator.
•	Provide backup support to conference room scheduler/VTC support personnel.
•	Manage acquisition workforce development programs for PM.
•	Coordinate with PM leadership and external agencies for program execution.
•	Collect and maintain a current internal documentation library of program documentation.
•	Provide special documentation services such as distribution, collection of revisions, and consolidation of changes.
•	Gather, analyze, and compose technical information.
•	Conduct research and ensure the use of proper technical terminology.
•	Translate information into clear, readable documents.
Requirements:
•	Proficiency in Microsoft Office applications, including SharePoint, Word, Excel, Outlook, and PowerPoint.
•	Experience using these applications to simultaneously track and report the progress of at least ten projects.
•	At least 1 year of experience in planning and managing events for DoD and Military senior leaders.
•	Experience in reviewing and verifying required protocols.
•	Minimum of 36 months of program or managerial experience directly related to the position.
•	Strong organizational and communication skills.
Benefits:
•	Medical, dental, and vision insurance.
•	Employer-paid life insurance.
•	Employer-paid short-term and long-term disability insurance.
•	11 paid federal holidays.
•	Paid vacation.
•	401K with company match.
•	Performance bonuses.
•	Referral bonuses.

"
Operation Manager,"Job Description 10: Operations Manager
Responsibilities:
•	Ensure that operations are conducted to meet service level and qualitative/quantitative objectives.
•	Ensure all departmental systems and staff operate efficiently and align with Simpluris' and its clients' quality standards.
•	Develop efficient business processes and procedures with a focus on scalability, cost reduction, and compliance.
•	Collaborate with internal technology groups and vendors to maximize scalability, cost reduction, and quality through technology and automated solutions.
•	Monitor departmental financial performance and recommend/implement solutions to improve profitability.
•	Collaborate with HR/staffing agencies to effectively plan, recruit, and onboard/offboard employees.
•	Coach and provide training to personnel to maintain high customer service standards.
•	Establish production Key Performance Indicators (KPIs) and develop quality management/control functions to support client deliverables.
•	Monitor daily operations, identify and assess potential risks/issues, and develop mitigation plans using best practices.
•	Collect and analyze various types of business/production reports to monitor operational and financial performance.
•	Work cross-functionally to ensure that functions, primarily client services, are informed of operational performance for their assigned projects.
Benefits:
•	Health, dental, and vision insurance.
•	401K retirement plan.
Note: This job description is intended to provide a general overview of the position and does not encompass all tasks or responsibilities that may be required.



"
